"age","year","unit","season","area","iter","data"
"all",2000,"unique","all","unique",1,0
"all",2001,"unique","all","unique",1,0
"all",2002,"unique","all","unique",1,0
"all",2003,"unique","all","unique",1,11364535
"all",2004,"unique","all","unique",1,10561646
"all",2005,"unique","all","unique",1,11360087
"all",2006,"unique","all","unique",1,9664596
"all",2007,"unique","all","unique",1,10088334
"all",2008,"unique","all","unique",1,8478275
"all",2009,"unique","all","unique",1,7664002
"all",2010,"unique","all","unique",1,8601661
"all",2011,"unique","all","unique",1,8170718
"all",2012,"unique","all","unique",1,8617876
"all",2013,"unique","all","unique",1,9289121
"all",2014,"unique","all","unique",1,9918193
"all",2015,"unique","all","unique",1,9552944
"all",2016,"unique","all","unique",1,10360649
