"year","country","fleets","TR1","TR2","TR1_eff_share","TR2_eff_share"
2003,"OTH","OTH_DTS_O10M",NA,36589,NA,NA
2003,"GBR","GBR_DTS_O10M",3245818.42,2678449.31,54.788516791087,45.211483208913
2003,"FRA","FRA_DTS_O10M",7734607,10516376,42.379125551758,57.620874448242
2003,"IRL","IRL_DTS_O10M",5847912,5516623,51.4575563364449,48.5424436635551
2004,"OTH","OTH_DTS_O10M",NA,183720,NA,NA
2004,"GBR","GBR_DTS_O10M",3141381.19,2756778.53,53.260361521712,46.7396384782879
2004,"FRA","FRA_DTS_O10M",7788841,10920284,41.6312414396718,58.3687585603282
2004,"IRL","IRL_DTS_O10M",5080624,5481022,48.1044715946738,51.8955284053262
2005,"OTH","OTH_DTS_O10M",NA,297480,NA,NA
2005,"GBR","GBR_DTS_O10M",2889562.98,2682959.73,51.8537676807422,48.1462323192578
2005,"FRA","FRA_DTS_O10M",7366673,11540724,38.9618570975159,61.0381429024841
2005,"IRL","IRL_DTS_O10M",4811084,6549003,42.3507672080328,57.6492327919672
2006,"OTH","OTH_DTS_O10M",NA,587181,NA,NA
2006,"GBR","GBR_DTS_O10M",3011994.48,2500053.98,54.6438316327865,45.3561683672135
2006,"FRA","FRA_DTS_O10M",7881085,10898037,41.9672708873184,58.0327291126816
2006,"IRL","IRL_DTS_O10M",3883296,5781300,40.1806345552365,59.8193654447635
2007,"OTH","OTH_DTS_O10M",NA,578550,NA,NA
2007,"GBR","GBR_DTS_O10M",2986711.23,2508838.42,54.3478163280719,45.6521836719281
2007,"FRA","FRA_DTS_O10M",7420257,10785794,40.7570922436722,59.2429077563278
2007,"IRL","IRL_DTS_O10M",4031609,6056725,39.9630801279973,60.0369198720026
2008,"OTH","OTH_DTS_O10M",NA,558315,NA,NA
2008,"GBR","GBR_DTS_O10M",2506449.09,2371916.68,51.3788675997536,48.6211324002464
2008,"FRA","FRA_DTS_O10M",6314288,7338510,46.2490399403844,53.7509600596156
2008,"IRL","IRL_DTS_O10M",3868538,4609737,45.6288336955336,54.3711663044664
2009,"OTH","OTH_DTS_O10M",NA,685229,NA,NA
2009,"GBR","GBR_DTS_O10M",2277024.62,2373376.49,48.9640477485608,51.0359522514392
2009,"FRA","FRA_DTS_O10M",10855873.02,6933784.73,61.0235068743804,38.9764931256196
2009,"IRL","IRL_DTS_O10M",4179131,3484871,54.5293568555958,45.4706431444042
2010,"OTH","OTH_DTS_O10M",5764680.44,4918461.13,53.9605358800838,46.0394641199162
2010,"GBR","GBR_DTS_O10M",2545240.96,2370568.34,51.7766415389629,48.2233584610371
2010,"FRA","FRA_DTS_O10M",9863811.17,6402397.12,60.6398921871915,39.3601078128085
2010,"IRL","IRL_DTS_O10M",4496000,4105661,52.2689745620061,47.7310254379939
2011,"OTH","OTH_DTS_O10M",5728031.74,3529030.46,61.8774252159611,38.1225747840389
2011,"GBR","GBR_DTS_O10M",2807579.66,1962785.21,58.8546104231226,41.1453895768774
2011,"FRA","FRA_DTS_O10M",10517833.36,5811905.97,64.4090707601026,35.5909292398974
2011,"IRL","IRL_DTS_O10M",4410607,3760111,53.9806538421715,46.0193461578285
2012,"OTH","OTH_DTS_O10M",2314036,2163707,51.6786246999884,48.3213753000116
2012,"GBR","GBR_DTS_O10M",2372776.42,1666315.95,58.7452873725688,41.2547126274312
2012,"FRA","FRA_DTS_O10M",11739879.53,5886881.88,66.6025894203103,33.3974105796897
2012,"IRL","IRL_DTS_O10M",4341606,4276270,50.3790725232064,49.6209274767936
2013,"OTH","OTH_DTS_O10M",2369589.95,1609705.14,59.5479826553904,40.4520173446096
2013,"GBR","GBR_DTS_O10M",2264809.52,1735587.32,56.6146212634245,43.3853787365755
2013,"FRA","FRA_DTS_O10M",10377343.85,6989674.26,59.7531699700634,40.2468300299366
2013,"IRL","IRL_DTS_O10M",4911521,4377600,52.8739048613965,47.1260951386035
2014,"OTH","OTH_DTS_O10M",1622789.63,1092824,59.757750958114,40.242249041886
2014,"GBR","GBR_DTS_O10M",2076322.85,1827945.83,53.1808392346605,46.8191607653395
2014,"FRA","FRA_DTS_O10M",9658115.05,6948894.92,58.1568570588388,41.8431429411612
2014,"IRL","IRL_DTS_O10M",5831901,4086292,58.8000354500059,41.1999645499941
2015,"OTH","OTH_DTS_O10M",5402355.89,291602,94.8787468113854,5.12125318861464
2015,"GBR","GBR_DTS_O10M",2247887.5,1879664.9,54.4605442198626,45.5394557801374
2015,"FRA","FRA_DTS_O10M",8965862.88,8144588.16,52.3999213056397,47.6000786943604
2015,"IRL","IRL_DTS_O10M",5269621,4283323,55.1622724889835,44.8377275110165
2016,"OTH","OTH_DTS_O10M",268524.17,1411656.82,15.9818597876173,84.0181402123827
2016,"GBR","GBR_DTS_O10M",2401288.29,2177842.79,52.4398242384448,47.5601757615552
2016,"FRA","FRA_DTS_O10M",9445109.79,7420580.23,56.0019173766363,43.9980826233637
2016,"IRL","IRL_DTS_O10M",5319428,5041221,51.3426137686934,48.6573862313066
