"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,67240.5626341292
"all",2009,1,"all","unique",1,96759.9305183297
"all",2010,1,"all","unique",1,99456.38336161
"all",2011,1,"all","unique",1,102064.722689687
"all",2012,1,"all","unique",1,101046.380690568
"all",2013,1,"all","unique",1,107262.632204974
"all",2014,1,"all","unique",1,105936.934514299
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
