"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,0.256986486167925
"all",2009,1,"all","unique",1,0.252940316478628
"all",2010,1,"all","unique",1,0.224026075061675
"all",2011,1,"all","unique",1,0.219210756398535
"all",2012,1,"all","unique",1,0.241708508763428
"all",2013,1,"all","unique",1,0.226111787636036
"all",2014,1,"all","unique",1,0.202921684655864
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
