"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,2.45221488383392
"all",2009,1,"all","unique",1,2.13932240452351
"all",2010,1,"all","unique",1,1.97354670482932
"all",2011,1,"all","unique",1,2.96947580514759
"all",2012,1,"all","unique",1,3.173450581075
"all",2013,1,"all","unique",1,3.0173145767603
"all",2014,1,"all","unique",1,2.96483603198618
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
