"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,3.93661073578874
"all",2009,1,"all","unique",1,3.18860039978056
"all",2010,1,"all","unique",1,3.57336611337764
"all",2011,1,"all","unique",1,4.98220992315266
"all",2012,1,"all","unique",1,5.32663571017759
"all",2013,1,"all","unique",1,4.82799057209731
"all",2014,1,"all","unique",1,4.78314349340156
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
