"age","year","unit","season","area","iter","data"
"all",2000,1,"all","unique",1,NA
"all",2001,1,"all","unique",1,NA
"all",2002,1,"all","unique",1,NA
"all",2003,1,"all","unique",1,NA
"all",2004,1,"all","unique",1,NA
"all",2005,1,"all","unique",1,NA
"all",2006,1,"all","unique",1,NA
"all",2007,1,"all","unique",1,NA
"all",2008,1,"all","unique",1,87419.0018181818
"all",2009,1,"all","unique",1,73034.8854428572
"all",2010,1,"all","unique",1,86261.6723227753
"all",2011,1,"all","unique",1,97143.8416398714
"all",2012,1,"all","unique",1,95712.8071710526
"all",2013,1,"all","unique",1,82142.7880138169
"all",2014,1,"all","unique",1,84627.5342704626
"all",2015,1,"all","unique",1,NA
"all",2016,1,"all","unique",1,NA
